算法,数据�?隐藏比例,,acc,precision,recall,f1
fullysupervised,bank,RATIO_0_9,0.375,0.1875,0.5,0.272727273
fullysupervised,census,RATIO_0_1,0.25,0.125,0.5,0.2
fullysupervised,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
fullysupervised,census,RATIO_0_3,0.25,0.125,0.5,0.2
fullysupervised,census,RATIO_0_4,0.25,0.125,0.5,0.2
fullysupervised,census,RATIO_0_5,0.75,0.375,0.5,0.428571429
fullysupervised,census,RATIO_0_6,0.375,0.1875,0.5,0.272727273
fullysupervised,census,RATIO_0_7,0.375,0.1875,0.5,0.272727273
fullysupervised,census,RATIO_0_8,0.625,0.3125,0.5,0.384615385
fullysupervised,census,RATIO_0_9,0.625,0.3125,0.5,0.384615385
fullysupervised,credit,RATIO_0_1,0.75,0.375,0.5,0.428571429
fullysupervised,credit,RATIO_0_2,0.375,0.1875,0.5,0.272727273
fullysupervised,credit,RATIO_0_3,0.25,0.125,0.5,0.2
fullysupervised,credit,RATIO_0_4,0.75,0.375,0.5,0.428571429
fullysupervised,credit,RATIO_0_5,0.75,0.375,0.5,0.428571429
fullysupervised,credit,RATIO_0_6,0.625,0.3125,0.5,0.384615385
fullysupervised,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
fullysupervised,credit,RATIO_0_8,0.375,0.1875,0.5,0.272727273
fullysupervised,credit,RATIO_0_9,0.375,0.1875,0.5,0.272727273
meanteacher,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
meanteacher,bank,RATIO_0_2,0.625,0.3125,0.5,0.384615385
meanteacher,bank,RATIO_0_3,0.25,0.125,0.5,0.2
meanteacher,bank,RATIO_0_4,0.75,0.375,0.5,0.428571429
meanteacher,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
meanteacher,bank,RATIO_0_6,0.625,0.3125,0.5,0.384615385
meanteacher,bank,RATIO_0_7,0.375,0.1875,0.5,0.272727273
meanteacher,bank,RATIO_0_8,0.625,0.3125,0.5,0.384615385
meanteacher,bank,RATIO_0_9,0.625,0.3125,0.5,0.384615385
meanteacher,census,RATIO_0_1,0.75,0.375,0.5,0.428571429
meanteacher,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
meanteacher,census,RATIO_0_3,0.75,0.375,0.5,0.428571429
meanteacher,census,RATIO_0_4,0.75,0.375,0.5,0.428571429
meanteacher,census,RATIO_0_5,0.25,0.125,0.5,0.2
meanteacher,census,RATIO_0_6,0.375,0.1875,0.5,0.272727273
meanteacher,census,RATIO_0_7,0.625,0.3125,0.5,0.384615385
