Method,Label Spreading,Label Spreading,Label Spreading,Label Spreading,Label Propagation,Label Propagation,Label Propagation,Label Propagation,Self-training,Self-training,Self-training,Self-training
Metric,Accuracy,Recall,AUC,F1,Accuracy,Recall,AUC,F1,Accuracy,Recall,AUC,F1
RATIO_0_1,0.9417192812044682,0.589010989010989,0.9584166584166582,0.6907216494845361,0.9176784847013113,0.5494505494505495,0.9350118350118349,0.5959475566150179,0.9985429820301117,0.9978021978021978,0.9999777999778,0.9934354485776805
RATIO_0_2,0.9407551292946461,0.6117136659436009,0.9504792102520153,0.6980198019801981,0.9198737404394804,0.544468546637744,0.9329460755023035,0.6033653846153847,0.9968435109870099,0.9967462039045553,0.9999027345528088,0.9860515021459227
RATIO_0_3,0.9401100679831661,0.6131597975415762,0.9489550667947929,0.6962233169129721,0.9135642602784072,0.519884309472162,0.9205375529326273,0.5738228252194733,0.9966817740369052,0.9862617498192335,0.9996884484555169,0.9851932105453232
RATIO_0_4,0.937298937784522,0.5984126984126984,0.9453250150096224,0.68649468892261,0.9133232169954476,0.5365079365079365,0.918037666443563,0.5868055555555556,0.9944157814871016,0.9841269841269841,0.9993825648950778,0.9758656873032527
RATIO_0_5,0.9333300961445081,0.5743611227482195,0.9331794358822247,0.6663426488456864,0.907740118481111,0.4939254294093004,0.9102854412997446,0.5537811178957257,0.9967951830630281,0.9941348973607038,0.9998571793733881,0.986284289276808
RATIO_0_6,0.9319763677565556,0.5820949619427329,0.9350496093445011,0.6564479869200899,0.9034881838782778,0.508880028996013,0.8934786410725856,0.5407279029462738,0.9912593072191648,0.9847770931496919,0.9978348089423041,0.9617699115044247
RATIO_0_7,0.9275432693975235,0.5511664074650078,0.9306621578368108,0.6291496538256701,0.9066282820575076,0.5278382581648523,0.9051950787950377,0.5576733486690766,0.9917103118171413,0.9850699844479005,0.9991363229921423,0.9636391297733151
RATIO_0_8,0.9177238239757208,0.5038635758060218,0.9140330986229956,0.5824734329277683,0.9006980273141123,0.4207300826005862,0.8790286627658064,0.4911353032659409,0.9887101669195751,0.9469757527311484,0.9971772647527991,0.9502673796791443
RATIO_0_9,0.9077935741455124,0.47940255360154177,0.8989314666087559,0.5379832387131657,0.8946559119479889,0.4914478438930378,0.8822364447086339,0.5109580463368817,0.9810623431978203,0.984822934232715,0.9940435567474271,0.9209281369677855
